				Act.	F'cast	Prior	Rev.	
Wed, Aug 19, 2015	16:30	US	US DOE Distillate Inventories	594	1500	2994		Chart
Wed, Aug 19, 2015	16:30	US	US DOE Gasoline Inventories	-2708	-1250	-1251		Chart
Wed, Aug 19, 2015	16:30	US	US DOE Refinery Utilization	-1	-0.5	0		Chart
Wed, Aug 12, 2015	16:30	US	US DOE Crude Oil Inventories	-1682	-2000	-4407		Chart
Wed, Aug 12, 2015	16:30	US	US DOE Distillate Inventories	2994	1050	709		Chart
Wed, Aug 12, 2015	16:30	US	US DOE Gasoline Inventories	-1251	-675	811		Chart
Wed, Aug 12, 2015	16:30	US	US DOE Refinery Utilization	0	-0.5	1		Chart
Wed, Aug 05, 2015	16:30	US	US DOE Crude Oil Inventories	-4407	-1630	-4203		Chart
Wed, Aug 05, 2015	16:30	US	US DOE Distillate Inventories	709	1750	2588		Chart
Wed, Aug 05, 2015	16:30	US	US DOE Gasoline Inventories	811	-200	-363		Chart
Wed, Aug 05, 2015	16:30	US	US DOE Refinery Utilization	1	-0.1	-0.4		Chart
Wed, Jul 29, 2015	16:30	US	US DOE Crude Oil Inventories	-4203	850	2468		Chart
Wed, Jul 29, 2015	16:30	US	US DOE Distillate Inventories	2588	1450	235		Chart
Wed, Jul 29, 2015	16:30	US	US DOE Gasoline Inventories	-363	250	-1725		Chart
Wed, Jul 29, 2015	16:30	US	US DOE Refinery Utilization	-0.4	-0.1	0.2		Chart
Wed, Jul 22, 2015	16:30	US	US DOE Crude Oil Inventories	2468	-2200	-4346		Chart
Wed, Jul 22, 2015	16:30	US	US DOE Distillate Inventories	235	1800	3819		Chart
Wed, Jul 22, 2015	16:30	US	US DOE Gasoline Inventories	-1725	300	58		Chart
Wed, Jul 22, 2015	16:30	US	US DOE Refinery Utilization	0.2	0	0.6		Chart
Wed, Jul 15, 2015	16:30	US	US DOE Crude Oil Inventories	-4346	-1900	384		Chart
Wed, Jul 15, 2015	16:30	US	US DOE Distillate Inventories	3819	1460	1641		Chart
Wed, Jul 15, 2015	16:30	US	US DOE Gasoline Inventories	58	450	1215		Chart
Wed, Jul 15, 2015	16:30	US	US DOE Refinery Utilization	0.6	0.1	-0.3		Chart
Wed, Jul 08, 2015	16:30	US	US DOE Crude Oil Inventories	384	0	2386		Chart
Wed, Jul 08, 2015	16:30	US	US DOE Distillate Inventories	1641	1000	392		Chart
Wed, Jul 08, 2015	16:30	US	US DOE Gasoline Inventories	1215	0	-1757		Chart
Wed, Jul 08, 2015	16:30	US	US DOE Refinery Utilization	-0.3	0.2	1		Chart
Wed, Jul 01, 2015	16:30	US	US DOE Crude Oil Inventories	2386	-2500	-4934		Chart
Wed, Jul 01, 2015	16:30	US	US DOE Distillate Inventories	392	1500	1837		Chart
Wed, Jul 01, 2015	16:30	US	US DOE Gasoline Inventories	-1757	-250	680		Chart
Wed, Jul 01, 2015	16:30	US	US DOE Refinery Utilization	1	0.38	0.9		Chart
Wed, Jun 24, 2015	16:30	US	US DOE Crude Oil Inventories	-4934	-2000	-2676		Chart
Wed, Jun 24, 2015	16:30	US	US DOE Distillate Inventories	1837	700	114		Chart
Wed, Jun 24, 2015	16:30	US	US DOE Gasoline Inventories	680	0	460		Chart
Wed, Jun 24, 2015	16:30	US	US DOE Refinery Utilization	0.9	0.45	-1.5		Chart
Wed, Jun 17, 2015	16:30	US	US DOE Crude Oil Inventories	-2676	-1800	-6812		Chart
Wed, Jun 17, 2015	16:30	US	US DOE Distillate Inventories	114	950	865		Chart
Wed, Jun 17, 2015	16:30	US	US DOE Gasoline Inventories	460	-800	-2939		Chart
Wed, Jun 17, 2015	16:30	US	US DOE Refinery Utilization	-1.5	0.5	1.4		Chart
Wed, Jun 10, 2015	16:30	US	US DOE Crude Oil Inventories	-6812	-1500	-1948		Chart
Wed, Jun 10, 2015	16:30	US	US DOE Distillate Inventories	865	700	3773		Chart
Wed, Jun 10, 2015	16:30	US	US DOE Gasoline Inventories	-2939	-400	-334		Chart
Wed, Jun 10, 2015	16:30	US	US DOE Refinery Utilization	1.4	0.1	-0.4		Chart
Wed, Jun 03, 2015	16:30	US	US DOE Crude Oil Inventories	-1948	-2500	-2802		Chart
Wed, Jun 03, 2015	16:30	US	US DOE Distillate Inventories	3773	1300	1115		Chart
Wed, Jun 03, 2015	16:30	US	US DOE Gasoline Inventories	-334	500	-3309		Chart
Wed, Jun 03, 2015	16:30	US	US DOE Refinery Utilization	-0.4	0.6	1.2		Chart
Thu, May 28, 2015	17:00	US	US DOE Crude Oil Inventories	-2802	-2000	-2674		Chart
Thu, May 28, 2015	17:00	US	US DOE Distillate Inventories	1115	-400	-546		Chart
Thu, May 28, 2015	17:00	US	US DOE Gasoline Inventories	-3309	-1300	-2774		Chart
Thu, May 28, 2015	17:00	US	US DOE Refinery Utilization	1.2	0.3	1.2		Chart
Wed, May 20, 2015	16:30	US	US DOE Crude Oil Inventories	-2674	-1750	-2191		Chart
Wed, May 20, 2015	16:30	US	US DOE Distillate Inventories	-546	400	-2503		Chart
Wed, May 20, 2015	16:30	US	US DOE Gasoline Inventories	-2774	650	-1142		Chart
Wed, May 20, 2015	16:30	US	US DOE Refinery Utilization	92.4	0.3	-1.8		Chart
Wed, May 13, 2015	16:30	US	US DOE Crude Oil Inventories	-2191	-250	-3882		Chart
Wed, May 13, 2015	16:30	US	US DOE Distillate Inventories	-2503	750	1503		Chart
Wed, May 13, 2015	16:30	US	US DOE Gasoline Inventories	-1142	250	401		Chart
Wed, May 13, 2015	16:30	US	US DOE Refinery Utilization	-1.8	0.5	1.7		Chart
Wed, May 06, 2015	16:30	US	US DOE Crude Oil Inventories	-3882	1500	1910		Chart
Wed, May 06, 2015	16:30	US	US DOE Distillate Inventories	1503	0	-66		Chart
Wed, May 06, 2015	16:30	US	US DOE Gasoline Inventories	401	1000	1713		Chart
Wed, May 06, 2015	16:30	US	US DOE Refinery Utilization	1.7	0.5	0.1		Chart
Wed, Apr 29, 2015	16:30	US	US DOE Crude Oil Inventories	1910	3300	5315		Chart
Wed, Apr 29, 2015	16:30	US	US DOE Distillate Inventories	-66	1000	395		Chart
Wed, Apr 29, 2015	16:30	US	US DOE Gasoline Inventories	1713	900	-2135		Chart
Wed, Apr 29, 2015	16:30	US	US DOE Refinery Utilization	0.1	0.65	-1.1		Chart
Wed, Apr 22, 2015	16:30	US	US DOE Crude Oil Inventories	5315	3200	1294		Chart
Wed, Apr 22, 2015	16:30	US	US DOE Distillate Inventories	395	1100	2017		Chart
Wed, Apr 22, 2015	16:30	US	US DOE Gasoline Inventories	-2135	-1000	-2072		Chart
Wed, Apr 22, 2015	16:30	US	US DOE Refinery Utilization	-1.1	0.5	2.2		Chart
Wed, Apr 15, 2015	16:30	US	US DOE Crude Oil Inventories	1294	3600	10949		Chart
Wed, Apr 15, 2015	16:30	US	US DOE Distillate Inventories	2017	700	-250		Chart
Wed, Apr 15, 2015	16:30	US	US DOE Gasoline Inventories	-2072	-750	817		Chart
Wed, Apr 15, 2015	16:30	US	US DOE Refinery Utilization	2.2	0.5	0.7		Chart
Wed, Apr 08, 2015	16:30	US	US DOE Crude Oil Inventories	10949	3250	4766		Chart
Wed, Apr 08, 2015	16:30	US	US DOE Distillate Inventories	-250	850	1325		Chart
Wed, Apr 08, 2015	16:30	US	US DOE Gasoline Inventories	817	-2000	-4258		Chart
Wed, Apr 08, 2015	16:30	US	US DOE Refinery Utilization	0.7	0.4	0.4		Chart
Wed, Apr 01, 2015	16:30	US	US DOE Crude Oil Inventories	4766	4200	8170		Chart
Wed, Apr 01, 2015	16:30	US	US DOE Distillate Inventories	1325	0	-34		Chart
Wed, Apr 01, 2015	16:30	US	US DOE Gasoline Inventories	-4258	-650	-2014		Chart
Wed, Apr 01, 2015	16:30	US	US DOE Refinery Utilization	0.4	0.6	0.9		Chart
Wed, Mar 25, 2015	15:30	US	US DOE Crude Oil Inventories	8170	4750	9622		Chart
Wed, Mar 25, 2015	15:30	US	US DOE Distillate Inventories	-34	-1000	380		Chart
Wed, Mar 25, 2015	15:30	US	US DOE Gasoline Inventories	-2014	-2300	-4473		Chart
Wed, Mar 25, 2015	15:30	US	US DOE Refinery Utilization	0.9	0.5	0.3		Chart
Wed, Mar 18, 2015	15:30	US	US DOE Crude Oil Inventories	9622	4400	4512		Chart
Wed, Mar 18, 2015	15:30	US	US DOE Distillate Inventories	380	-1500	2527		Chart
Wed, Mar 18, 2015	15:30	US	US DOE Gasoline Inventories	-4473	-900	-187		Chart
Wed, Mar 18, 2015	15:30	US	US DOE Refinery Utilization	0.3	0.4	1.2		Chart
Wed, Mar 11, 2015	15:30	US	US DOE Crude Oil Inventories	4512	4750	10303		Chart
Wed, Mar 11, 2015	15:30	US	US DOE Distillate Inventories	2527	-2250	-1722		Chart
Wed, Mar 11, 2015	15:30	US	US DOE Gasoline Inventories	-187	-1750	46		Chart
Wed, Mar 11, 2015	15:30	US	US DOE Refinery Utilization	1.2	-0.5	-0.8		Chart
Wed, Mar 04, 2015	16:30	US	US DOE Crude Oil Inventories	10303	3950	8427		Chart
Wed, Mar 04, 2015	16:30	US	US DOE Distillate Inventories	-1722	-2500	-2711		Chart
Wed, Mar 04, 2015	16:30	US	US DOE Gasoline Inventories	46	-2000	-3118		Chart
Wed, Mar 04, 2015	16:30	US	US DOE Refinery Utilization	-0.8	-0.5	-1.3		Chart
Wed, Feb 25, 2015	16:30	US	US DOE Crude Oil Inventories	8427	4000	7716		Chart
Wed, Feb 25, 2015	16:30	US	US DOE Distillate Inventories	-2711	-3500	-3814		Chart
Wed, Feb 25, 2015	16:30	US	US DOE Gasoline Inventories	-3118	-2000	485		Chart
Wed, Feb 25, 2015	16:30	US	US DOE Refinery Utilization	-1.3	-0.35	-1.3		Chart
Thu, Feb 19, 2015	17:00	US	US DOE Crude Oil Inventories	7716	3000	4868		Chart
Thu, Feb 19, 2015	17:00	US	US DOE Distillate Inventories	-3814	-2000	-3252		Chart
Thu, Feb 19, 2015	17:00	US	US DOE Gasoline Inventories	485	-650	1977		Chart
Thu, Feb 19, 2015	17:00	US	US DOE Refinery Utilization	-1.3	-1	0.1		Chart
Wed, Feb 11, 2015	16:30	US	US DOE Crude Oil Inventories	4868	3750	6333		Chart
Wed, Feb 11, 2015	16:30	US	US DOE Distillate Inventories	-3252	-1250	1788		Chart
Wed, Feb 11, 2015	16:30	US	US DOE Gasoline Inventories	1977	200	2335		Chart
Wed, Feb 11, 2015	16:30	US	US DOE Refinery Utilization	0.1	0	1.9		Chart
Wed, Feb 04, 2015	16:30	US	US DOE Crude Oil Inventories	6333	3250	8874		Chart
Wed, Feb 04, 2015	16:30	US	US DOE Distillate Inventories	1788	-1500	-3892		Chart
Wed, Feb 04, 2015	16:30	US	US DOE Gasoline Inventories	2335	-1150	-2587		Chart
Wed, Feb 04, 2015	16:30	US	US DOE Refinery Utilization	1.9	-0.5	2.5		Chart
Wed, Jan 28, 2015	16:30	US	US DOE Crude Oil Inventories	8874	3850	10071		Chart
Wed, Jan 28, 2015	16:30	US	US DOE Distillate Inventories	-3892	-1500	-3272		Chart
Wed, Jan 28, 2015	16:30	US	US DOE Gasoline Inventories	-2587	500	588		Chart
Wed, Jan 28, 2015	16:30	US	US DOE Refinery Utilization	2.5	0.2	-5.5		Chart
Thu, Jan 22, 2015	17:00	US	US DOE Crude Oil Inventories	10071	2700	5389		Chart
Thu, Jan 22, 2015	17:00	US	US DOE Distillate Inventories	-3272	500	2925		Chart
Thu, Jan 22, 2015	17:00	US	US DOE Gasoline Inventories	588	1500	3171		Chart
Thu, Jan 22, 2015	17:00	US	US DOE Refinery Utilization	-5.5	-0.65	-2.9		Chart
Wed, Jan 14, 2015	16:30	US	US DOE Crude Oil Inventories	5389	1750	-3062		Chart
Wed, Jan 14, 2015	16:30	US	US DOE Distillate Inventories	2925	2100	11205		Chart
Wed, Jan 14, 2015	16:30	US	US DOE Gasoline Inventories	3171	3750	8115		Chart
Wed, Jan 14, 2015	16:30	US	US DOE Refinery Utilization	-2.9	-0.25	-0.5		Chart
Wed, Jan 07, 2015	16:30	US	US DOE Crude Oil Inventories	-3062	700	-1754		Chart
Wed, Jan 07, 2015	16:30	US	US DOE Distillate Inventories	11205	1750	1874		Chart
Wed, Jan 07, 2015	16:30	US	US DOE Gasoline Inventories	8115	4500	2951		Chart
Wed, Jan 07, 2015	16:30	US	US DOE Refinery Utilization	-0.5	0	0.9		Chart
Wed, Dec 31, 2014	16:30	US	US DOE Crude Oil Inventories	-1754	900	7267		Chart
Wed, Dec 31, 2014	16:30	US	US DOE Distillate Inventories	1874	2000	2303		Chart
Wed, Dec 31, 2014	16:30	US	US DOE Gasoline Inventories	2951	2000	4083		Chart
Wed, Dec 31, 2014	16:30	US	US DOE Refinery Utilization	0.9	0	0		Chart
Wed, Dec 24, 2014	16:30	US	US DOE Crude Oil Inventories	7267	-2500	-847		Chart
Wed, Dec 24, 2014	16:30	US	US DOE Distillate Inventories	2303	-1000	-207		Chart
Wed, Dec 24, 2014	16:30	US	US DOE Gasoline Inventories	4083	1000	5250		Chart
Wed, Dec 24, 2014	16:30	US	US DOE Refinery Utilization	0	0	-1.9		Chart
Wed, Dec 17, 2014	16:30	US	US DOE Crude Oil Inventories	-847	-2250	1454		Chart
Wed, Dec 17, 2014	16:30	US	US DOE Distillate Inventories	-207	150	5577		Chart
Wed, Dec 17, 2014	16:30	US	US DOE Gasoline Inventories	5250	1750	8197		Chart
Wed, Dec 17, 2014	16:30	US	US DOE Refinery Utilization	-1.9	-0.13	2		Chart
Wed, Dec 10, 2014	16:30	US	US DOE Crude Oil Inventories	1454	-2700	-3689		Chart
Wed, Dec 10, 2014	16:30	US	US DOE Distillate Inventories	5577	1550	3028		Chart
Wed, Dec 10, 2014	16:30	US	US DOE Gasoline Inventories	8197	2550	2143		Chart
Wed, Dec 10, 2014	16:30	US	US DOE Refinery Utilization	2	0.3	1.9		Chart
Wed, Dec 03, 2014	16:30	US	US DOE Crude Oil Inventories	-3689	1750	1946		Chart
Wed, Dec 03, 2014	16:30	US	US DOE Distillate Inventories	3028	550	-1648		Chart
Wed, Dec 03, 2014	16:30	US	US DOE Gasoline Inventories	2143	1500	1825		Chart
Wed, Dec 03, 2014	16:30	US	US DOE Refinery Utilization	1.9	0.5	0.3		Chart
Wed, Nov 26, 2014	16:30	US	US DOE Crude Oil Inventories	1946	250	2608		Chart
Wed, Nov 26, 2014	16:30	US	US DOE Distillate Inventories	-1648	-900	-2056		Chart
Wed, Nov 26, 2014	16:30	US	US DOE Gasoline Inventories	1825	1500	1034		Chart
Wed, Nov 26, 2014	16:30	US	US DOE Refinery Utilization	0.3	0.15	1.1		Chart
Wed, Nov 19, 2014	16:30	US	US DOE Crude Oil Inventories	2608	-1500	-1735		Chart
Wed, Nov 19, 2014	16:30	US	US DOE Distillate Inventories	-2056	-2000	-2803		Chart
Wed, Nov 19, 2014	16:30	US	US DOE Gasoline Inventories	1034	900	1805		Chart
Wed, Nov 19, 2014	16:30	US	US DOE Refinery Utilization	1.1	0.5	1.7		Chart
Thu, Nov 13, 2014	17:00	US	US DOE Crude Oil Inventories	-1735	1050	460		Chart
Thu, Nov 13, 2014	17:00	US	US DOE Distillate Inventories	-2803	-1500	-724		Chart
Thu, Nov 13, 2014	17:00	US	US DOE Gasoline Inventories	1805	200	-1378		Chart
Thu, Nov 13, 2014	17:00	US	US DOE Refinery Utilization	1.7	1	1.8		Chart
Wed, Nov 05, 2014	16:30	US	US DOE Crude Oil Inventories	460	2350	2061		Chart
Wed, Nov 05, 2014	16:30	US	US DOE Distillate Inventories	-724	-2200	-5294		Chart
Wed, Nov 05, 2014	16:30	US	US DOE Gasoline Inventories	-1378	-600	-1236		Chart
Wed, Nov 05, 2014	16:30	US	US DOE Refinery Utilization	1.8	0.3	-0.1		Chart
Wed, Oct 29, 2014	15:30	US	US DOE Crude Oil Inventories	2061	3650	7111		Chart
Wed, Oct 29, 2014	15:30	US	US DOE Distillate Inventories	-5294	-1400	1049		Chart
Wed, Oct 29, 2014	15:30	US	US DOE Gasoline Inventories	-1236	-900	-1299		Chart
Wed, Oct 29, 2014	15:30	US	US DOE Refinery Utilization	-0.1	0.25	-1.4		Chart
Wed, Oct 22, 2014	16:30	US	US DOE Crude Oil Inventories	7111	3000	8923		Chart
Wed, Oct 22, 2014	16:30	US	US DOE Distillate Inventories	1049	-1300	-1518		Chart
Wed, Oct 22, 2014	16:30	US	US DOE Gasoline Inventories	-1299	-1450	-3995		Chart
Wed, Oct 22, 2014	16:30	US	US DOE Refinery Utilization	-1.4	0.03	-1.2		Chart
Thu, Oct 16, 2014	17:00	US	US DOE Crude Oil Inventories	8923	2450	5015		Chart
Thu, Oct 16, 2014	17:00	US	US DOE Distillate Inventories	-1518	-1800	439		Chart
Thu, Oct 16, 2014	17:00	US	US DOE Gasoline Inventories	-3995	-1700	1180		Chart
Thu, Oct 16, 2014	17:00	US	US DOE Refinery Utilization	-1.2	-0.75	-0.5		Chart
Wed, Oct 08, 2014	16:30	US	US DOE Crude Oil Inventories	5015	2000	-1363		Chart
Wed, Oct 08, 2014	16:30	US	US DOE Distillate Inventories	439	-1250	-2894		Chart
Wed, Oct 08, 2014	16:30	US	US DOE Gasoline Inventories	1180	-500	-1836		Chart
Wed, Oct 08, 2014	16:30	US	US DOE Refinery Utilization	-0.5	-0.8	-3.6		Chart
Wed, Oct 01, 2014	16:30	US	US DOE Crude Oil Inventories	-1363	1500	-4273		Chart
Wed, Oct 01, 2014	16:30	US	US DOE Distillate Inventories	-2894	0	823		Chart
Wed, Oct 01, 2014	16:30	US	US DOE Gasoline Inventories	-1836	-600	-414		Chart
Wed, Oct 01, 2014	16:30	US	US DOE Refinery Utilization	-3.6	-0.55	0.4		Chart
Wed, Sep 24, 2014	16:30	US	US DOE Crude Oil Inventories	-4273	750	3673		Chart
Wed, Sep 24, 2014	16:30	US	US DOE Distillate Inventories	823	500	279		Chart
Wed, Sep 24, 2014	16:30	US	US DOE Gasoline Inventories	-414	0	-1635		Chart
Wed, Sep 24, 2014	16:30	US	US DOE Refinery Utilization	0.4	-0.5	-0.9		Chart
Wed, Sep 17, 2014	16:30	US	US DOE Crude Oil Inventories	3673	-1500	-972		Chart
Wed, Sep 17, 2014	16:30	US	US DOE Distillate Inventories	279	750	4094		Chart
Wed, Sep 17, 2014	16:30	US	US DOE Gasoline Inventories	-1635	-125	2381		Chart
Wed, Sep 17, 2014	16:30	US	US DOE Refinery Utilization	-0.9	-0.65	0.6		Chart
Wed, Sep 10, 2014	16:30	US	US DOE Crude Oil Inventories	-972	-1500	-905		Chart
Wed, Sep 10, 2014	16:30	US	US DOE Distillate Inventories	4093	1000	605		Chart
Wed, Sep 10, 2014	16:30	US	US DOE Gasoline Inventories	2381	0	-2322		Chart
Wed, Sep 10, 2014	16:30	US	US DOE Refinery Utilization	0.6	-0.25	-0.2		Chart
Thu, Sep 04, 2014	17:00	US	US DOE Crude Oil Inventories	-905	-1000	-2070		Chart
Thu, Sep 04, 2014	17:00	US	US DOE Distillate Inventories	605	-1000	1252		Chart
Thu, Sep 04, 2014	17:00	US	US DOE Gasoline Inventories	-2322	-1400	-960		Chart
Thu, Sep 04, 2014	17:00	US	US DOE Refinery Utilization	-0.2	-0.4	0.1		Chart
Wed, Aug 27, 2014	16:30	US	US DOE Crude Oil Inventories	-2070	-2500	-4474		Chart
Wed, Aug 27, 2014	16:30	US	US DOE Distillate Inventories	1252	0	-960		Chart
Wed, Aug 27, 2014	16:30	US	US DOE Gasoline Inventories	-960	-1600	585		Chart
Wed, Aug 27, 2014	16:30	US	US DOE Refinery Utilization	0.1	-0.35	1.8		Chart
Wed, Aug 20, 2014	16:30	US	US DOE Crude Oil Inventories	-4474	-1750	1401		Chart
Wed, Aug 20, 2014	16:30	US	US DOE Distillate Inventories	-960	-300	-2421		Chart
Wed, Aug 20, 2014	16:30	US	US DOE Gasoline Inventories	585	-1550	-1160		Chart
Wed, Aug 20, 2014	16:30	US	US DOE Refinery Utilization	1.8	-0.4	-0.8		Chart
Wed, Aug 13, 2014	16:30	US	US DOE Crude Oil Inventories	1401	-2050	-1756		Chart
Wed, Aug 13, 2014	16:30	US	US DOE Distillate Inventories	-2421	-50	-1798		Chart
Wed, Aug 13, 2014	16:30	US	US DOE Gasoline Inventories	-1160	-1500	-4387		Chart
Wed, Aug 13, 2014	16:30	US	US DOE Refinery Utilization	-0.8	-0.5	-1.1		Chart
Wed, Aug 06, 2014	16:30	US	US DOE Crude Oil Inventories	-1756	-1550	-3697		Chart
Wed, Aug 06, 2014	16:30	US	US DOE Distillate Inventories	-1798	850	789		Chart
Wed, Aug 06, 2014	16:30	US	US DOE Gasoline Inventories	-4387	0	365		Chart
Wed, Aug 06, 2014	16:30	US	US DOE Refinery Utilization	-1.1	-0.6	-0.3		Chart
Wed, Jul 30, 2014	16:30	US	US DOE Crude Oil Inventories	-3697	-1250	-3969		Chart
Wed, Jul 30, 2014	16:30	US	US DOE Distillate Inventories	789	1500	1636		Chart
Wed, Jul 30, 2014	16:30	US	US DOE Gasoline Inventories	365	1000	3379		Chart
Wed, Jul 30, 2014	16:30	US	US DOE Refinery Utilization	-0.3	-0.2	0		Chart
Wed, Jul 23, 2014	16:30	US	US DOE Crude Oil Inventories	-3969	-2900	-7525		Chart
Wed, Jul 23, 2014	16:30	US	US DOE Distillate Inventories	1636	2000	2528		Chart
Wed, Jul 23, 2014	16:30	US	US DOE Gasoline Inventories	3379	1000	171		Chart
Wed, Jul 23, 2014	16:30	US	US DOE Refinery Utilization	0	0.05	2.2		Chart
Wed, Jul 16, 2014	16:30	US	US DOE Crude Oil Inventories	-7525	-2750	-2370		Chart
Wed, Jul 16, 2014	16:30	US	US DOE Distillate Inventories	2528	2000	227		Chart
Wed, Jul 16, 2014	16:30	US	US DOE Gasoline Inventories	171	950	579		Chart
Wed, Jul 16, 2014	16:30	US	US DOE Refinery Utilization	2.2	0	0.2		Chart
Wed, Jul 09, 2014	16:30	US	US DOE Crude Oil Inventories	-2370	-2500	-3155		Chart
Wed, Jul 09, 2014	16:30	US	US DOE Distillate Inventories	227	1400	975		Chart
Wed, Jul 09, 2014	16:30	US	US DOE Gasoline Inventories	579	-400	-1235		Chart
Wed, Jul 09, 2014	16:30	US	US DOE Refinery Utilization	0.2	0.15	2.9		Chart
Wed, Jul 02, 2014	16:30	US	US DOE Crude Oil Inventories	-3155	-2400	1742		Chart
Wed, Jul 02, 2014	16:30	US	US DOE Distillate Inventories	975	950	1177		Chart
Wed, Jul 02, 2014	16:30	US	US DOE Gasoline Inventories	-1235	550	710		Chart
Wed, Jul 02, 2014	16:30	US	US DOE Refinery Utilization	2.9	0.5	1.4		Chart
Wed, Jun 25, 2014	16:30	US	US DOE Crude Oil Inventories	1742	-1700	-579		Chart
Wed, Jun 25, 2014	16:30	US	US DOE Distillate Inventories	1177	850	436		Chart
Wed, Jun 25, 2014	16:30	US	US DOE Gasoline Inventories	710	1450	785		Chart
